siruta,populatie
10,327258
29,409072
38,591353
47,583590
56,549752
65,277861
74,398932
83,505442
92,304925
109,432050
118,274277
519,285107
127,659370
136,630679
145,206261
154,501996
163,618335
172,507402
528,265493
181,334231
190,304969
207,396253
216,258669
225,723553
234,364241
243,461290
252,254570
261,531380
270,452900
289,415530
298,735883
305,329079
314,217895
323,375992
332,614451
341,360178
350,650544
369,201468
378,375151
387,355320
396,323080
403,1677985
81415,3148
81497,3112
81754,1535
86990,34331
129914,2212
87077,21373
18162,2133
128882,1167
143450,137026
112806,1472
143520,5280
143557,6763
143487,3536
156277,2537
143502,1754
156437,4572
73594,1668
143735,13410
143851,3372
179999,1235
18028,6548
79004,6929
149138,1807
156589,1177
79077,2966
100754,2700
69063,4745
112469,2671
144054,12095
144599,3518
145275,2614
46867,4376
80285,3273
144713,3407
105909,2978
144928,3792
144795,2931
144866,732
145042,1017
168229,4033
145202,3152
145603,3427
48771,5783
145355,2714
145382,557
145765,3564
167641,2353
145408,5111
156767,2581
145471,2322
80560,2228
74322,3187
145499,5040
145667,4234
145907,1601
128052,2206
145827,6527
145934,2381
145998,2474
167473,92573
146021,1572
170685,1976
170792,2055
172992,2225
168041,6072
167696,4064
167794,5691
168372,8022
168602,4591
167909,7291
168559,3249
168791,5474
168880,4117
168960,2442
172082,3868
169351,2821
168130,3080
169039,3692
169253,3165
155136,1502
169119,2355
169182,2500
169896,4850
170346,2494
169306,2124
170872,2220
170168,1975
109773,86475
169994,3654
170514,3937
171067,3008
171272,1781
171325,6210
171806,2831
171021,1661
172377,2904
171539,2405
171931,2581
171995,2668
172509,1715
172581,2053
157246,6009
172698,2655
172894,1876
172947,1837
173061,3187
174780,3335
173230,3303
173374,3589
173533,2734
173686,2339
173935,3664
174021,3795
174156,2724
174824,3988
174254,1405
175019,8939
174496,852
78711,3941
157451,4787
78748,2102
43180,3052
44818,108384
44845,31256
44863,2579
45003,4301
45101,8236
45245,2732
45389,1155
45496,2491
37823,3903
45539,2308
45815,3513
45888,885
46108,614
46251,1803
46313,4461
46377,4898
46439,1082
46554,2090
46769,3998
46803,3392
46830,2426
175732,3054
46910,3902
47006,5066
47417,685
47453,6607
47079,3374
47159,1482
47186,4108
47300,2858
47337,2070
47373,7976
47630,2553
47774,2604
47818,933
47854,1779
48021,861
48922,1393
48138,3914
48165,439
48227,2514
48968,4444
48325,7135
48487,3199
48557,5493
49019,1108
48682,3112
48744,6926
49073,4789
49153,3159
49206,3212
49545,6469
49625,3089
68789,4006
49313,3008
49439,2242
49643,4616
49769,3839
154790,2984
49849,4367
49894,3120
49956,9065
50022,5207
50068,763
50102,8237
50228,3056
50549,2376
50326,3404
50415,5424
50479,4305
100638,4187
92872,2131
92907,1797
100610,22743
108614,1730
93441,2982
93085,4105
93101,3106
93664,4696
154852,3620
94107,3326
100852,2362
94125,2699
94269,2700
94330,2289
69250,5075
100870,2244
94456,2002
94606,1501
94768,2185
100923,2559
154932,3094
101056,3680
102703,3428
109826,9116
101083,2366
101243,1325
101298,10020
101458,7024
102838,1747
101724,1878
102749,4896
101804,7148
101822,3245
102240,4491
103443,3182
102419,5093
103960,3409
102641,1067
103862,3663
103014,5374
103032,6486
103130,4412
103283,3806
103470,2514
103568,1266
104323,2491
104083,2145
175439,1609
103639,3781
103764,3541
175466,2011
104181,5404
104341,1695
104421,3038
104635,3907
104751,4185
104886,3131
105026,2843
105222,3064
105384,3373
105712,2448
105776,3074
105794,1876
105829,4054
131407,13367
132164,3799
132379,1770
132459,1260
132510,4653
132681,6579
132752,4976
133394,3392
133278,1915
133688,2233
135244,5230
174744,73868
179962,3488
175126,1591
175206,1823
175368,4067
175885,4480
175509,2209
175938,4165
175983,4467
176301,5788
176686,3274
176338,2400
176506,4091
176551,1564
179971,1183
176891,1604
66152,4265
111685,2595
176944,4052
177263,2581
177003,1855
177469,2087
177600,4844
177726,1611
178046,2794
178180,5015
178279,2459
20297,133460
178313,1563
178475,1924
178689,3019
178750,2508
69394,1965
178910,1806
178947,1543
178965,1259
179828,2146
180019,1292
180055,2161
180064,4968
26379,6621
20313,4330
20359,5491
20411,3987
20466,7428
20563,36004
20607,6314
20670,4556
20778,13191
22781,5063
20821,18390
20876,20855
20910,4056
20965,10602
110063,9692
21007,5651
